sale_id,product_id,customer_id,sale_date,sale_amount
1,1,316,2024-07-16,733.05
2,24,891,2024-03-26,26.97
3,43,364,2024-04-27,316.11
4,4,379,2024-10-14,111.81
5,6,963,2024-07-11,482.48
6,18,782,2024-06-30,416.16
7,10,605,2024-08-01,398.61
8,33,38,2024-02-08,564.83
9,44,351,2024-04-11,455.18
10,29,880,2024-05-18,512.71
11,45,858,2024-01-11,936.52
12,41,806,2024-08-14,351.29
13,16,353,2024-03-15,968.4
14,9,717,2024-08-16,856.95
15,23,223,2024-06-08,504.62
16,49,66,2024-10-07,45.31
17,37,580,2024-03-23,798.96
18,4,892,2024-01-23,768.46
19,12,150,2024-10-26,261.48
20,26,204,2024-12-11,939.14
21,6,638,2024-08-05,386.2
22,32,270,2024-09-10,595.89
23,37,762,2024-02-26,752.25
24,50,847,2024-10-26,504.23
25,15,281,2024-07-21,627.99
26,45,768,2024-03-01,753.28
27,18,402,2024-01-25,366.42
28,22,699,2024-01-03,204.99
29,2,980,2024-04-24,772.56
30,15,883,2024-04-24,937.67
31,19,953,2024-08-03,832.0
32,2,798,2024-04-01,788.15
33,7,253,2024-03-19,107.16
34,1,710,2024-11-21,303.44
35,16,213,2024-02-22,653.58
36,20,403,2024-01-02,843.4
37,1,281,2024-10-03,346.71
38,25,874,2024-10-04,74.4
39,4,202,2024-07-02,729.37
40,12,637,2024-11-30,690.71
41,31,609,2024-01-19,697.01
42,33,141,2024-06-28,656.21
43,37,394,2024-11-16,899.42
44,48,464,2024-04-05,94.11
45,30,274,2024-04-27,893.31
46,35,339,2024-05-18,963.07
47,10,961,2024-06-06,182.15
48,6,318,2024-10-29,279.8
49,4,874,2024-07-12,510.72
50,4,125,2024-10-19,49.43
51,48,3,2024-08-19,334.66
52,20,460,2024-07-15,751.62
53,10,242,2024-07-13,210.36
54,49,306,2024-07-23,329.53
55,31,72,2024-02-13,494.51
56,12,616,2024-04-04,940.92
57,41,182,2024-01-30,678.86
58,27,858,2024-05-29,697.22
59,23,437,2024-12-03,155.03
60,34,324,2024-10-06,480.59
61,7,500,2024-01-09,286.96
62,6,906,2024-02-19,829.1
63,46,704,2024-06-19,85.45
64,6,403,2024-12-07,609.77
65,36,314,2024-08-31,625.81
66,44,310,2024-11-30,794.42
67,29,554,2024-10-08,810.87
68,34,214,2024-02-23,951.43
69,29,473,2024-03-25,915.53
70,3,525,2024-05-02,738.79
71,8,950,2024-08-01,800.27
72,5,153,2024-04-30,545.46
73,42,533,2024-07-11,390.12
74,13,311,2024-03-19,547.46
75,18,333,2024-07-06,212.09
76,29,565,2024-01-17,403.79
77,20,628,2024-10-27,687.82
78,31,257,2024-02-27,76.97
79,32,597,2024-12-01,221.78
80,22,15,2024-10-29,259.23
81,1,113,2024-07-11,420.01
82,14,156,2024-10-23,263.02
83,42,784,2024-07-13,296.98
84,9,863,2024-04-27,104.01
85,14,623,2024-02-13,49.86
86,15,315,2024-02-15,529.18
87,23,674,2024-09-11,149.04
88,41,916,2024-09-19,175.08
89,37,591,2024-02-19,961.39
90,45,822,2024-07-21,90.38
91,4,94,2024-10-14,216.96
92,13,985,2024-07-11,866.59
93,9,731,2024-06-24,744.53
94,31,223,2024-07-26,839.77
95,45,449,2024-11-21,279.01
96,49,940,2024-05-10,639.81
97,48,154,2024-05-03,428.36
98,28,24,2024-05-15,533.37
99,50,592,2024-03-12,577.18
100,25,626,2024-05-19,949.46
101,12,805,2024-04-29,12.22
102,41,108,2024-11-12,789.91
103,30,218,2024-10-14,847.36
104,12,261,2024-01-24,752.93
105,26,169,2024-03-30,166.57
106,3,847,2024-11-06,93.23
107,45,369,2024-10-29,922.59
108,42,874,2024-01-18,978.57
109,24,116,2024-09-07,669.79
110,22,954,2024-08-08,147.52
111,41,267,2024-06-26,656.65
112,20,430,2024-04-21,210.38
113,31,1,2024-05-20,503.91
114,39,969,2024-08-05,352.95
115,49,239,2024-03-16,109.48
116,6,856,2024-05-10,237.45
117,14,299,2024-03-29,907.49
118,4,851,2024-02-04,676.97
119,31,458,2024-01-21,790.01
120,46,856,2024-09-04,858.82
121,9,213,2024-11-23,894.45
122,22,165,2024-10-23,169.72
123,28,675,2024-04-02,502.66
124,7,805,2024-10-05,401.39
125,40,298,2024-11-28,861.53
126,15,922,2024-10-12,343.11
127,28,628,2024-12-10,25.17
128,47,507,2024-11-25,550.19
129,30,359,2024-03-30,443.82
130,7,873,2024-08-14,206.62
131,7,641,2024-04-12,198.89
132,14,49,2024-07-30,212.38
133,3,847,2024-01-08,796.93
134,3,923,2024-07-05,127.19
135,6,610,2024-04-25,452.41
136,8,826,2024-02-26,871.02
137,3,707,2024-05-06,23.15
138,21,170,2024-10-29,67.26
139,15,538,2024-12-10,25.91
140,46,144,2024-08-08,169.9
141,9,594,2024-06-28,521.07
142,34,975,2024-05-09,273.44
143,13,563,2024-04-10,430.95
144,35,575,2024-05-15,466.53
145,41,787,2024-04-19,342.77
146,28,644,2024-07-28,958.14
147,17,501,2024-06-24,197.82
148,50,939,2024-08-02,546.13
149,11,775,2024-04-14,699.32
150,29,468,2024-01-23,67.78
151,9,910,2024-02-04,76.38
152,50,577,2024-12-11,919.53
153,40,268,2024-03-23,579.83
154,33,477,2024-03-18,243.74
155,25,671,2024-06-02,115.05
156,32,148,2024-05-15,76.8
157,45,500,2024-11-12,319.55
158,20,908,2024-05-01,270.29
159,26,772,2024-06-05,683.1
160,37,172,2024-07-28,581.61
161,4,341,2024-07-15,353.98
162,38,619,2024-01-03,871.74
163,40,377,2024-03-31,955.33
164,19,796,2024-08-05,742.35
165,36,950,2024-06-02,795.32
166,13,335,2024-05-09,497.35
167,31,847,2024-02-27,113.98
168,8,687,2024-04-27,251.64
169,4,285,2024-08-20,652.87
170,20,81,2024-11-06,767.5
171,32,675,2024-06-26,11.92
172,15,805,2024-07-18,199.01
173,39,544,2024-11-04,262.56
174,25,33,2024-03-04,196.2
175,13,480,2024-03-25,682.29
176,41,768,2024-10-11,970.2
177,45,630,2024-01-15,548.41
178,25,531,2024-04-24,960.2
179,17,615,2024-10-26,44.82
180,15,688,2024-02-18,33.57
181,47,745,2024-05-25,603.94
182,3,765,2024-04-14,586.77
183,32,526,2024-10-28,374.04
184,39,407,2024-06-14,233.14
185,27,618,2024-01-02,305.31
186,49,604,2024-10-14,497.26
187,45,667,2024-11-04,100.91
188,36,811,2024-01-09,310.25
189,20,257,2024-04-05,953.64
190,16,713,2024-04-03,667.62
191,11,991,2024-01-20,936.11
192,29,28,2024-03-26,347.13
193,10,54,2024-02-21,164.64
194,49,455,2024-01-22,710.79
195,43,268,2024-02-27,384.8
196,22,823,2024-02-03,579.65
197,26,973,2024-10-25,517.88
198,45,823,2024-09-09,98.06
199,21,655,2024-03-08,846.28
200,7,822,2024-11-09,605.61
201,21,318,2024-05-14,547.36
202,13,945,2024-04-08,146.99
203,36,682,2024-06-07,233.93
204,8,519,2024-05-13,840.3
205,30,539,2024-03-02,93.92
206,44,170,2024-06-24,887.59
207,37,185,2024-03-02,932.32
208,5,963,2024-06-13,72.73
209,46,296,2024-11-20,874.36
210,21,230,2024-11-29,83.15
211,40,334,2024-03-15,272.95
212,42,158,2024-11-03,306.63
213,27,504,2024-05-18,438.02
214,9,862,2024-10-30,930.12
215,35,403,2024-03-23,745.91
216,3,296,2024-09-14,537.82
217,49,604,2024-04-12,464.41
218,40,945,2024-10-23,225.48
219,4,587,2024-11-19,772.27
220,44,927,2024-04-24,364.98
221,25,264,2024-06-02,783.87
222,6,530,2024-02-15,881.57
223,48,594,2024-02-02,186.71
224,39,97,2024-01-23,215.94
225,28,416,2024-01-02,995.34
226,41,815,2024-10-17,907.56
227,6,8,2024-05-04,977.25
228,13,850,2024-12-10,696.61
229,1,618,2024-11-19,319.96
230,41,511,2024-03-05,710.52
231,4,793,2024-05-02,403.24
232,35,546,2024-07-02,97.53
233,39,512,2024-08-29,980.7
